source_topic_id, target_topic_id, prereq_relation,annotator_id
"2","3","-1","56"
"2","4","-1","3"
"2","5","-1","3"
"2","6","-1","3"
"2","7","-1","15"
"2","8","-1","15"
"2","9","-1","15"
"2","10","-1","3"
"2","11","-1","15"
"2","12","-1","21"
"2","13","-1","3"
"2","14","-1","56"
"2","15","-1","15"
"2","16","-1","56"
"2","17","-1","15"
"2","18","-1","57"
"2","19","-1","15"
"2","20","-1","61"
"2","21","-1","3"
"2","22","-1","58"
"2","23","-1","56"
"2","24","-1","15"
"2","25","-1","21"
"2","26","-1","20"
"2","27","-1","61"
"2","28","-1","15"
"2","29","-1","15"
"2","30","-1","56"
"2","31","-1","15"
"2","32","-1","21"
"2","33","-1","21"
"2","34","-1","15"
"2","35","-1","3"
"2","36","-1","56"
"2","37","1","20"
"2","38","-1","21"
"2","39","-1","61"
"2","40","-1","56"
"2","41","-1","15"
"2","42","-1","58"
"2","43","-1","56"
"2","44","-1","56"
"2","45","-1","56"
"2","46","-1","56"
"2","47","-1","56"
"2","48","-1","15"
"2","49","-1","56"
"2","50","-1","15"
"2","51","1","58"
"2","52","-1","56"
"2","53","-1","15"
"2","54","-1","57"
"2","55","-1","15"
"2","56","-1","56"
"2","57","0","20"
"2","58","-1","15"
"2","59","-1","56"
"2","60","-1","15"
"2","61","-1","15"
"2","62","-1","3"
"2","63","-1","15"
"2","64","-1","15"
"2","65","-1","56"
"2","66","-1","20"
"2","67","-1","56"
"2","68","-1","28"
"2","69","-1","56"
"2","70","-1","15"
"2","71","1","3"
"2","72","-1","15"
"2","73","-1","56"
"2","74","-1","20"
"2","75","-1","58"
"2","76","-1","58"
"2","77","-1","56"
"2","78","-1","58"
"2","79","-1","28"
"2","80","-1","3"
"2","81","-1","61"
"2","82","-1","57"
"2","83","-1","57"
"2","84","-1","56"
"2","85","-1","21"
"2","86","-1","61"
"2","87","-1","21"
"2","88","-1","3"
"2","89","-1","3"
"2","90","-1","15"
"2","91","-1","3"
"2","92","-1","57"
"2","93","-1","20"
"2","94","-1","15"
"2","95","-1","15"
"2","96","-1","15"
"2","97","-1","56"
"2","98","-1","3"
"2","99","-1","15"
"2","100","-1","28"
"2","101","-1","21"
"2","102","-1","15"
"2","103","-1","15"
"2","104","-1","21"
"2","105","-1","28"
"2","106","-1","56"
"2","107","-1","3"
"2","108","-1","15"
"2","109","-1","28"
"2","110","-1","56"
"2","111","-1","15"
"2","112","-1","15"
"2","113","-1","57"
"2","114","-1","15"
"2","115","-1","57"
"2","116","-1","21"
"2","117","-1","3"
"2","118","-1","15"
"2","119","-1","15"
"2","120","-1","56"
"2","121","-1","3"
"2","122","-1","15"
"2","123","-1","56"
"2","124","-1","28"
"2","125","-1","56"
"2","126","-1","57"
"2","127","-1","58"
"2","128","-1","15"
"2","129","-1","3"
"2","130","-1","56"
"2","131","0","20"
"2","132","-1","28"
"2","133","-1","15"
"2","134","-1","56"
"2","135","-1","57"
"2","136","0","15"
"2","137","-1","56"
"2","138","-1","61"
"2","139","-1","56"
"2","140","-1","57"
"2","141","-1","56"
"2","142","-1","15"
"2","143","-1","57"
"2","144","-1","15"
"2","145","-1","61"
"2","146","-1","15"
"2","147","-1","15"
"2","148","-1","15"
"2","149","-1","15"
"2","150","-1","3"
"2","151","-1","20"
"2","152","-1","56"
"2","153","-1","3"
"2","154","-1","56"
"2","155","-1","15"
"2","156","-1","61"
"2","157","-1","21"
"2","158","-1","57"
"2","159","-1","58"
"2","160","-1","20"
"2","161","-1","56"
"2","162","-1","56"
"2","163","-1","58"
"2","164","-1","56"
"2","165","-1","57"
"2","166","-1","58"
"2","167","-1","56"
"2","168","-1","15"
"2","169","-1","15"
"2","170","-1","15"
"2","171","-1","56"
"2","172","-1","15"
"2","173","-1","56"
"2","174","-1","15"
"2","175","-1","3"
"2","176","-1","56"
"2","177","-1","61"
"2","178","-1","56"
"2","179","-1","58"
"2","180","-1","58"
"2","181","-1","15"
"2","182","-1","15"
"2","183","-1","15"
"2","184","-1","3"
"2","185","-1","56"
"2","186","-1","56"
"2","187","-1","20"
"2","188","-1","58"
"2","189","-1","15"
"2","190","-1","15"
"2","191","-1","56"
"2","192","-1","57"
"2","193","-1","58"
"2","194","-1","56"
"2","195","-1","15"
"2","196","-1","28"
"2","197","-1","15"
"2","198","-1","3"
"2","199","-1","56"
"2","200","-1","58"
"2","201","-1","15"
"2","202","-1","21"
"2","203","-1","21"
"2","204","-1","21"
"2","205","-1","21"
"2","207","-1","61"
"2","209","-1","21"
"3","2","-1","3"
"3","4","-1","3"
"3","5","1","15"
"3","6","-1","3"
"3","7","-1","15"
"3","8","-1","15"
"3","9","-1","15"
"3","10","-1","3"
"3","11","-1","15"
"3","12","-1","21"
"3","13","-1","3"
"3","14","-1","56"
"3","15","-1","15"
"3","16","-1","56"
"3","17","-1","15"
"3","18","-1","57"
"3","19","-1","15"
"3","20","-1","61"
"3","21","-1","3"
"3","22","-1","58"
"3","23","-1","56"
"3","24","-1","15"
"3","25","-1","21"
"3","26","-1","20"
"3","27","-1","61"
"3","28","-1","15"
"3","29","-1","15"
"3","30","-1","56"
"3","31","-1","15"
"3","32","-1","21"
"3","33","-1","21"
"3","34","-1","15"
"3","35","-1","3"
"3","36","-1","56"
"3","37","-1","20"
"3","38","-1","21"
"3","39","-1","61"
"3","40","-1","56"
"3","41","-1","15"
"3","42","-1","58"
"3","43","-1","56"
"3","44","-1","56"
"3","45","-1","56"
"3","46","-1","56"
"3","47","-1","56"
"3","48","-1","15"
"3","49","-1","56"
"3","50","-1","15"
"3","51","-1","58"
"3","52","-1","56"
"3","53","-1","15"
"3","54","-1","57"
"3","55","-1","15"
"3","56","-1","56"
"3","57","-1","20"
"3","58","-1","15"
"3","59","-1","56"
"3","60","-1","15"
"3","61","-1","15"
"3","62","-1","3"
"3","63","-1","15"
"3","64","-1","15"
"3","65","-1","56"
"3","66","-1","20"
"3","67","-1","56"
"3","68","-1","28"
"3","69","-1","56"
"3","70","-1","15"
"3","71","-1","3"
"3","72","-1","15"
"3","73","-1","56"
"3","74","-1","20"
"3","75","-1","58"
"3","76","-1","58"
"3","77","-1","56"
"3","78","-1","58"
"3","79","-1","28"
"3","80","-1","3"
"3","81","-1","61"
"3","82","-1","57"
"3","83","-1","57"
"3","84","-1","56"
"3","85","-1","21"
"3","86","-1","61"
"3","87","-1","21"
"3","88","-1","3"
"3","89","-1","3"
"3","90","-1","15"
"3","91","-1","3"
"3","92","-1","57"
"3","93","-1","20"
"3","94","-1","15"
"3","95","-1","15"
"3","96","-1","15"
"3","97","-1","56"
"3","98","-1","3"
"3","99","-1","15"
"3","100","-1","28"
"3","101","-1","21"
"3","102","-1","15"
"3","103","-1","15"
"3","104","-1","21"
"3","105","-1","28"
"3","106","-1","56"
"3","107","-1","3"
"3","108","-1","15"
"3","109","-1","28"
"3","110","-1","56"
"3","111","-1","15"
"3","112","-1","15"
"3","113","-1","57"
"3","114","-1","15"
"3","115","-1","57"
"3","116","-1","21"
"3","117","-1","3"
"3","118","-1","15"
"3","119","-1","15"
"3","120","-1","56"
"3","121","-1","3"
"3","122","-1","15"
"3","123","-1","56"
"3","124","-1","28"
"3","125","-1","56"
"3","126","-1","57"
"3","127","-1","58"
"3","128","-1","15"
"3","129","-1","3"
"3","130","-1","56"
"3","131","-1","20"
"3","132","-1","28"
"3","133","-1","15"
"3","134","-1","56"
"3","135","-1","57"
"3","136","-1","15"
"3","137","-1","56"
"3","138","-1","61"
"3","139","-1","56"
"3","140","-1","57"
"3","141","-1","56"
"3","142","-1","15"
"3","143","-1","15"
"3","144","-1","15"
"3","145","-1","61"
"3","146","-1","15"
"3","147","-1","15"
"3","148","-1","15"
"3","149","-1","15"
"3","150","-1","3"
"3","151","-1","20"
"3","152","-1","56"
"3","153","-1","3"
"3","154","-1","56"
"3","155","-1","15"
"3","156","-1","61"
"3","157","-1","21"
"3","158","-1","57"
"3","159","-1","58"
"3","160","-1","20"
"3","161","-1","56"
"3","162","-1","56"
"3","163","-1","58"
"3","164","-1","56"
"3","165","-1","57"
"3","166","-1","58"
"3","167","-1","56"
"3","168","-1","15"
"3","169","-1","15"
"3","170","-1","15"
"3","171","-1","56"
"3","172","-1","15"
"3","173","-1","56"
"3","174","-1","15"
"3","175","-1","3"
"3","176","-1","56"
"3","177","-1","61"
"3","178","-1","56"
"3","179","-1","58"
"3","180","-1","58"
"3","181","-1","15"
"3","182","-1","15"
"3","183","-1","15"
"3","184","-1","3"
"3","185","-1","56"
"3","186","-1","56"
"3","187","-1","20"
"3","188","-1","58"
"3","189","-1","15"
"3","190","-1","15"
"3","191","-1","56"
"3","192","-1","57"
"3","193","-1","58"
"3","194","-1","56"
"3","195","-1","15"
"3","196","-1","28"
"3","197","-1","15"
"3","198","-1","3"
"3","199","-1","56"
"3","200","-1","58"
"3","201","-1","15"
"3","202","-1","21"
"3","203","-1","21"
"3","204","-1","21"
"3","205","-1","21"
"3","207","-1","61"
"3","209","-1","21"
"4","2","-1","15"
"4","3","-1","56"
"4","5","-1","3"
"4","6","-1","3"
"4","7","0","15"
"4","8","0","15"
"4","9","-1","15"
"4","10","-1","3"
"4","11","-1","15"
"4","12","-1","21"
"4","13","-1","3"
"4","14","-1","56"
"4","15","-1","15"
"4","16","-1","56"
"4","17","-1","15"
"4","18","-1","57"
"4","19","-1","15"
"4","20","-1","61"
"4","21","-1","3"
"4","22","-1","58"
"4","23","-1","56"
"4","24","-1","15"
"4","25","-1","21"
"4","26","-1","20"
"4","27","-1","61"
"4","28","-1","15"
"4","29","1","58"
"4","30","-1","56"
"4","31","-1","15"
"4","32","-1","21"
"4","33","-1","21"
"4","34","-1","15"
"4","35","-1","3"
"4","36","-1","56"
"4","37","-1","20"
"4","38","-1","21"
"4","39","-1","61"
"4","40","-1","56"
"4","41","-1","15"
"4","42","-1","58"
"4","43","-1","56"
"4","44","-1","56"
"4","45","-1","56"
"4","46","-1","56"
"4","47","-1","56"
"4","48","-1","15"
"4","49","-1","56"
"4","50","-1","15"
"4","51","-1","58"
"4","52","-1","56"
"4","53","-1","15"
"4","54","-1","57"
"4","55","-1","15"
"4","56","-1","56"
"4","57","-1","20"
"4","58","-1","15"
"4","59","-1","56"
"4","60","-1","15"
"4","61","-1","15"
"4","62","-1","3"
"4","63","-1","15"
"4","64","-1","15"
"4","65","-1","56"
"4","66","-1","20"
"4","67","-1","56"
"4","68","-1","28"
"4","69","-1","56"
"4","70","0","15"
"4","71","-1","3"
"4","72","-1","15"
"4","73","-1","56"
"4","74","-1","20"
"4","75","-1","58"
"4","76","-1","58"
"4","77","-1","56"
"4","78","-1","58"
"4","79","-1","28"
"4","80","-1","3"
"4","81","-1","61"
"4","82","-1","57"
"4","83","-1","57"
"4","84","-1","56"
"4","85","-1","21"
"4","86","-1","61"
"4","87","-1","21"
"4","88","-1","3"
"4","89","-1","3"
"4","90","-1","15"
"4","91","-1","3"
"4","92","-1","57"
"4","93","-1","20"
"4","94","-1","15"
"4","95","-1","15"
"4","96","-1","15"
"4","97","-1","56"
"4","98","-1","3"
"4","99","-1","15"
"4","100","-1","28"
"4","101","-1","21"
"4","102","-1","15"
"4","103","-1","15"
"4","104","-1","21"
"4","105","-1","28"
"4","106","-1","56"
"4","107","-1","3"
"4","108","-1","15"
"4","109","0","28"
"4","110","-1","56"
"4","111","-1","15"
"4","112","-1","15"
"4","113","-1","57"
"4","114","-1","15"
"4","115","-1","57"
"4","116","-1","21"
"4","117","-1","3"
"4","118","-1","15"
"4","119","-1","15"
"4","120","-1","56"
"4","121","-1","3"
"4","122","-1","15"
"4","123","-1","56"
"4","124","-1","28"
"4","125","-1","56"
"4","126","-1","57"
"4","127","-1","58"
"4","128","-1","15"
"4","129","-1","3"
"4","130","-1","56"
"4","131","-1","20"
"4","132","-1","28"
"4","133","-1","15"
"4","134","-1","56"
"4","135","-1","57"
"4","136","-1","15"
"4","137","-1","56"
"4","138","-1","61"
"4","139","-1","56"
"4","140","-1","57"
"4","141","-1","56"
"4","142","-1","15"
"4","143","-1","57"
"4","144","-1","15"
"4","145","-1","61"
"4","146","-1","15"
"4","147","-1","15"
"4","148","-1","15"
"4","149","0","15"
"4","150","-1","3"
"4","151","1","20"
"4","152","-1","56"
"4","153","-1","3"
"4","154","-1","56"
"4","155","-1","15"
"4","156","-1","61"
"4","157","-1","21"
"4","158","-1","57"
"4","159","-1","58"
"4","160","-1","20"
"4","161","-1","56"
"4","162","-1","56"
"4","163","-1","58"
"4","164","-1","56"
"4","165","-1","57"
"4","166","-1","58"
"4","167","-1","56"
"4","168","-1","15"
"4","169","-1","15"
"4","170","-1","15"
"4","171","-1","56"
"4","172","-1","15"
"4","173","-1","56"
"4","174","-1","15"
"4","175","-1","3"
"4","176","-1","56"
"4","177","-1","61"
"4","178","-1","56"
"4","179","-1","58"
"4","180","-1","58"
"4","181","-1","15"
"4","182","-1","15"
"4","183","-1","15"
"4","184","-1","3"
"4","185","-1","56"
"4","186","-1","56"
"4","187","-1","20"
"4","188","-1","58"
"4","189","-1","15"
"4","190","-1","15"
"4","191","-1","56"
"4","192","-1","57"
"4","193","-1","58"
"4","194","-1","56"
"4","195","1","15"
"4","196","-1","28"
"4","197","-1","15"
"4","198","-1","3"
"4","199","-1","56"
"4","200","-1","58"
"4","201","-1","15"
"4","202","-1","21"
"4","203","-1","21"
"4","204","-1","21"
"4","205","-1","21"
"4","207","-1","61"
"4","209","-1","21"
"5","2","-1","21"
"5","3","-1","56"
"5","4","-1","3"
"5","6","-1","3"
"5","7","-1","15"
"5","8","-1","15"
"5","9","-1","56"
"5","10","-1","3"
"5","11","-1","15"
"5","12","-1","21"
"5","13","-1","3"
"5","14","-1","56"
"5","15","-1","15"
"5","16","-1","56"
"5","17","-1","15"
"5","18","-1","57"
"5","19","-1","15"
"5","20","-1","61"
"5","21","-1","3"
"5","22","0","58"
"5","23","-1","56"
"5","24","-1","15"
"5","25","-1","21"
"5","26","-1","20"
"5","27","-1","61"
"5","28","-1","15"
"5","29","-1","15"
"5","30","-1","56"
"5","31","-1","15"
"5","32","-1","21"
"5","33","-1","21"
"5","34","-1","15"
"5","35","-1","3"
"5","36","-1","56"
"5","37","-1","20"
"5","38","-1","21"
"5","39","-1","61"
"5","40","-1","56"
"5","41","-1","15"
"5","42","-1","58"
"5","43","-1","56"
"5","44","-1","56"
"5","45","-1","56"
"5","46","-1","56"
"5","47","-1","56"
"5","48","-1","15"
"5","49","-1","56"
"5","50","-1","15"
"5","51","-1","58"
"5","52","-1","56"
"5","53","-1","15"
"5","54","-1","57"
"5","55","-1","15"
"5","56","-1","56"
"5","57","-1","20"
"5","58","-1","15"
"5","59","-1","56"
"5","60","-1","15"
"5","61","-1","15"
"5","62","-1","3"
"5","63","-1","15"
"5","64","-1","15"
"5","65","-1","56"
"5","66","-1","20"
"5","67","-1","56"
"5","68","-1","28"
"5","69","-1","56"
"5","70","-1","15"
"5","71","-1","3"
"5","72","-1","15"
"5","73","-1","56"
"5","74","-1","20"
